"date","geography","geography code","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"2011","Kensington and Chelsea","E09000020","Total",131569,57375,42979,14396,74194,51419,5060,3141,9579,4995
"2011","Lambeth","E09000022","Total",245327,93942,59000,34942,151385,114034,6638,7824,14969,7920
"2011","Lewisham","E09000023","Total",216216,93900,66456,27444,122316,85790,5335,7456,14533,9202
"2011","Newham","E09000025","Total",236115,98859,81139,17720,137256,93879,14133,7366,12652,9226
"2011","Southwark","E09000028","Total",229266,92839,59596,33243,136427,97552,7666,8090,14941,8178
"2011","Tower Hamlets","E09000030","Total",200214,81253,57568,23685,118961,89494,6964,5492,9732,7279
"2011","Wandsworth","E09000032","Total",250679,115844,78418,37426,134835,102672,5164,5138,13204,8657
"2011","Westminster","E09000033","Total",180764,73790,54248,19542,106974,74805,7319,5333,12430,7087
"2011","Barking and Dagenham","E09000002","Total",136615,66679,53098,13581,69936,43773,3845,4591,9669,8058
"2011","Barnet","E09000003","Total",278406,147043,123836,23207,131363,86175,7445,6519,16526,14698
"2011","Bexley","E09000004","Total",183338,104704,85140,19564,78634,48503,2575,4296,11060,12200
"2011","Brent","E09000005","Total",246156,112715,93979,18736,133441,89684,12381,7049,13270,11057
"2011","Bromley","E09000006","Total",246537,143427,116982,26445,103110,63660,2949,5495,15419,15587
"2011","Croydon","E09000008","Total",281203,142151,114184,27967,139052,91494,7033,7890,18401,14234
"2011","Ealing","E09000009","Total",265985,130708,107102,23606,135277,89942,11030,6509,15160,12636
"2011","Enfield","E09000010","Total",240067,120744,100596,20148,119323,77277,5620,7660,16028,12738
"2011","Greenwich","E09000011","Total",194610,94241,70786,23455,100369,65887,5914,5993,13125,9450
"2011","Harrow","E09000015","Total",189258,106622,95871,10751,82636,53266,6110,3612,8585,11063
"2011","Havering","E09000016","Total",191305,110347,90932,19415,80958,49603,2232,3811,11399,13913
"2011","Hillingdon","E09000017","Total",210356,115259,96109,19150,95097,60518,5705,4591,12375,11908
"2011","Hounslow","E09000018","Total",200444,103627,84588,19039,96817,62839,7259,4976,12081,9662
"2011","Kingston upon Thames","E09000021","Total",126138,71238,57202,14036,54900,37508,2207,2226,6810,6149
"2011","Merton","E09000024","Total",159397,86166,67847,18319,73231,49544,4143,3333,8706,7505
"2011","Redbridge","E09000026","Total",214474,116035,101139,14896,98439,63951,6813,5099,10882,11694
