"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"2011","Wrexham","W06000006","Total",59005,58985,10,10,59044,57029,2015,18203,21773,12150,5758,613,361,186
"2011","Powys","W06000023","Total",63446,63427,11,8,63482,58345,5137,30377,15523,11401,3409,1183,944,645
"2011","Ceredigion","W06000008","Total",34569,34529,17,23,34669,31562,3107,17046,7685,5278,2273,1450,548,389
"2011","Pembrokeshire","W06000009","Total",60668,60646,13,9,60712,53122,7590,25251,15846,11716,4726,1512,868,793
"2011","Carmarthenshire","W06000010","Total",84115,84095,13,7,84155,78829,5326,32684,27879,16761,4259,1318,777,477
"2011","Swansea","W06000011","Total",108729,108646,37,46,108977,103497,5480,25318,36311,28730,14541,2795,865,417
"2011","Neath Port Talbot","W06000012","Total",63978,63963,7,8,64017,60393,3624,12698,27189,17235,5520,773,509,93
"2011","Bridgend","W06000013","Total",61445,61427,7,11,61498,58515,2983,14346,23669,16452,5194,1157,560,120
"2011","Vale of Glamorgan","W06000014","Total",55644,55633,5,6,55664,53505,2159,14842,17045,14976,6320,1573,581,327
"2011","Cardiff","W06000015","Total",148093,147913,59,121,148599,142557,6042,20106,42790,45102,30565,8546,1405,85
"2011","Rhondda Cynon Taff","W06000016","Total",105269,105249,9,11,105310,99663,5647,15271,27956,53075,6977,1038,848,145
"2011","Merthyr Tydfil","W06000024","Total",26245,26242,1,2,26254,24264,1990,4013,7257,13185,1328,223,222,26
"2011","Caerphilly","W06000018","Total",77217,77207,3,7,77244,74479,2765,12455,30270,27852,5320,627,686,34
"2011","Blaenau Gwent","W06000019","Total",31952,31952,0,0,31952,30416,1536,3506,8517,16669,2551,298,385,26
"2011","Torfaen","W06000020","Total",40224,40222,0,2,40229,38524,1705,7168,10806,17246,4349,316,273,71
"2011","Monmouthshire","W06000021","Total",40044,40033,5,6,40078,38233,1845,17638,11354,6789,3174,579,433,111
"2011","Newport","W06000022","Total",63445,63394,11,40,63605,61172,2433,11830,19371,21091,8736,1875,543,159
